,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
349,Hypercalcemia,27542,hypercalcemia,1
350,"Bipolar I disorder, most recent episode (or current) depressed, severe, without mention of psychotic behavior",29653,bipolar i disorder most recent episode or current depressed severe without mention of psychotic behavior,1
351,Disruption of external operation (surgical) wound,99832,disruption of external operation surgical wound,1
352,Other shock without mention of trauma,78559,other shock without mention of trauma,1
353,Closed fracture of shaft of humerus,81221,closed fracture of shaft of humerus,10
354,Secondary malignant neoplasm of bone and bone marrow,1985,secondary malignant neoplasm of bone and bone marrow,2
355,Other ventral hernia without mention of obstruction or gangrene,55329,other ventral hernia without mention of obstruction or gangrene,4
356,"Other and unspecified alcohol dependence, unspecified",30390,other and unspecified alcohol dependence unspecified,7
357,"Jaundice, unspecified, not of newborn",7824,jaundice unspecified not of newborn,7
358,Unspecified hypertrophic and atrophic conditions of skin,7019,unspecified hypertrophic and atrophic conditions of skin,7
359,Ulcer of other part of foot,70715,ulcer of other part of foot,1
360,Regional enteritis of small intestine with large intestine,5552,regional enteritis of small intestine with large intestine,1
361,Acute posthemorrhagic anemia,2851,acute posthemorrhagic anemia,5
362,Malignant neoplasm of rectum,1541,malignant neoplasm of rectum,2
363,"Open wound of knee, leg [except thigh], and ankle, without mention of complication",8910,open wound of knee leg except thigh and ankle without mention of complication,0
364,Idiopathic normal pressure hydrocephalus (INPH),3315,idiopathic normal pressure hydrocephalus inph,1
365,"Paralysis, unspecified",3449,paralysis unspecified,7
366,Hypothermia,9916,hypothermia,1
367,Inflammatory disease of breast,6110,inflammatory disease of breast,3
368,Abnormal coagulation profile,79092,abnormal coagulation profile,1
369,"Asthma, unspecified type, unspecified",49390,asthma unspecified type unspecified,6
370,"Pressure ulcer, heel",70707,pressure ulcer heel,1
371,"Disorders of bursae and tendons in shoulder region, unspecified",72610,disorders of bursae and tendons in shoulder region unspecified,7
372,Other acquired deformities of hip,73639,other acquired deformities of hip,1
373,"Acute myocardial infarction of other inferior wall, initial episode of care",41041,acute myocardial infarction of other inferior wall initial episode of care,5
374,Mechanical complication due to cardiac pacemaker (electrode),99601,mechanical complication due to cardiac pacemaker electrode,1
375,Regional enteritis of unspecified site,5559,regional enteritis of unspecified site,7
376,Closed fracture of second cervical vertebra,80502,closed fracture of second cervical vertebra,10
377,"Acute myocardial infarction of other specified sites, initial episode of care",41081,acute myocardial infarction of other specified sites initial episode of care,5
378,"Myalgia and myositis, unspecified",7291,myalgia and myositis unspecified,7
379,Poisoning by unspecified drug or medicinal substance,9779,poisoning by unspecified drug or medicinal substance,7
380,Closed fracture of shaft of femur,82101,closed fracture of shaft of femur,10
381,"Urethritis, unspecified",59780,urethritis unspecified,7
382,Cervicalgia,7231,cervicalgia,1
383,Malignant neoplasm of glottis,1610,malignant neoplasm of glottis,2
384,Closed fracture of metatarsal bone(s),82525,closed fracture of metatarsal bones,10
385,Other impaction of intestine,56039,other impaction of intestine,1
386,"Neutropenia, unspecified",28800,neutropenia unspecified,7
387,"Malignant neoplasm of pancreas, part unspecified",1579,malignant neoplasm of pancreas part unspecified,2
388,Muscle weakness (generalized),72887,muscle weakness generalized,1
389,Morbid obesity,27801,morbid obesity,1
390,"Myelodysplastic syndrome, unspecified",23875,myelodysplastic syndrome unspecified,7
391,Conversion disorder,30011,conversion disorder,1
392,"Unspecified schizophrenia, chronic",29592,unspecified schizophrenia chronic,3
393,Unspecified episodic mood disorder,29690,unspecified episodic mood disorder,7
394,Cellulitis and abscess of buttock,6825,cellulitis and abscess of buttock,1
395,"Leiomyoma of uterus, unspecified",2189,leiomyoma of uterus unspecified,7
396,Sialoadenitis,5272,sialoadenitis,1
397,Mechanical complication of automatic implantable cardiac defibrillator,99604,mechanical complication of automatic implantable cardiac defibrillator,1
398,"Malignant neoplasm of lower lobe, bronchus or lung",1625,malignant neoplasm of lower lobe bronchus or lung,2
399,"Poisoning by opium (alkaloids), unspecified",96500,poisoning by opium alkaloids unspecified,7
400,Cervical spondylosis with myelopathy,7211,cervical spondylosis with myelopathy,1
401,Closed fracture of lower end of radius with ulna,81344,closed fracture of lower end of radius with ulna,10
402,Unspecified deficiency anemia,2819,unspecified deficiency anemia,7
403,Encounter for antineoplastic chemotherapy,V5811,encounter for antineoplastic chemotherapy,1
404,Other ventral hernia with obstruction,55229,other ventral hernia with obstruction,4
405,"Neoplasm of uncertain behavior of stomach, intestines, and rectum",2352,neoplasm of uncertain behavior of stomach intestines and rectum,2
406,"Unspecified osteomyelitis, other specified sites",73028,unspecified osteomyelitis other specified sites,3
407,"Abdominal pain, right upper quadrant",78901,abdominal pain right upper quadrant,1
408,"Traumatic arthropathy, pelvic region and thigh",71615,traumatic arthropathy pelvic region and thigh,1
409,"Other and unspecified special symptoms or syndromes, not elsewhere classified",3079,other and unspecified special symptoms or syndromes not elsewhere classified,7
410,Closed fracture of olecranon process of ulna,81301,closed fracture of olecranon process of ulna,10
411,"Acute duodenal ulcer with hemorrhage, without mention of obstruction",53200,acute duodenal ulcer with hemorrhage without mention of obstruction,4
412,"Fistula of intestine, excluding rectum and anus",56981,fistula of intestine excluding rectum and anus,1
413,"Acute lymphoid leukemia, without mention of having achieved remission",20400,acute lymphoid leukemia without mention of having achieved remission,5
414,"Chronic ischemic heart disease, unspecified",4149,chronic ischemic heart disease unspecified,3
415,Closed fracture of unspecified part of upper end of humerus,81200,closed fracture of unspecified part of upper end of humerus,10
416,Ulcer of esophagus without bleeding,53020,ulcer of esophagus without bleeding,1
417,Chronic respiratory failure,51883,chronic respiratory failure,3
418,Spontaneous tension pneumothorax,5120,spontaneous tension pneumothorax,1
419,"Unilateral paralysis of vocal cords or larynx, partial",47831,unilateral paralysis of vocal cords or larynx partial,1
420,"Closed dislocation of hip, unspecified site",83500,closed dislocation of hip unspecified site,7
421,Malignant neoplasm of cecum,1534,malignant neoplasm of cecum,2
422,"Abdominal pain, generalized",78907,abdominal pain generalized,1
423,Acute on chronic diastolic heart failure,42833,acute on chronic diastolic heart failure,5
424,"Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft",99667,infection and inflammatory reaction due to other internal orthopedic device implant and graft,8
425,"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx",2351,neoplasm of uncertain behavior of lip oral cavity and pharynx,1
426,Pain in or around eye,37991,pain in or around eye,1
427,Methicillin resistant pneumonia due to Staphylococcus aureus,48242,methicillin resistant pneumonia due to staphylococcus aureus,1
428,Bronchiectasis without acute exacerbation,4940,bronchiectasis without acute exacerbation,5
429,Herpes zoster dermatitis of eyelid,05320,herpes zoster dermatitis of eyelid,1
430,"Systemic inflammatory response syndrome, unspecified",99590,systemic inflammatory response syndrome unspecified,7
431,"Generalized convulsive epilepsy, without mention of intractable epilepsy",34510,generalized convulsive epilepsy without mention of intractable epilepsy,1
432,Peri-prosthetic osteolysis,99645,periprosthetic osteolysis,1
433,Other nonspecific abnormal serum enzyme levels,7905,other nonspecific abnormal serum enzyme levels,1
434,Other acquired deformities of knee,7366,other acquired deformities of knee,1
435,"Intervertebral disc disorder with myelopathy, cervical region",72271,intervertebral disc disorder with myelopathy cervical region,1
436,"Iron deficiency anemia, unspecified",2809,iron deficiency anemia unspecified,7
437,"Calculus of bile duct with acute cholecystitis, without mention of obstruction",57430,calculus of bile duct with acute cholecystitis without mention of obstruction,4
438,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,45340,acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,9
439,Infection and inflammatory reaction due to internal joint prosthesis,99666,infection and inflammatory reaction due to internal joint prosthesis,1
440,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness",85180,other and unspecified cerebral laceration and contusion without mention of open intracranial wound unspecified state of consciousness,0
441,Cellulitis and abscess of neck,6821,cellulitis and abscess of neck,1
442,Cholangitis,5761,cholangitis,1
443,Malignant neoplasm of ovary,1830,malignant neoplasm of ovary,2
444,"Acute alcoholic intoxication in alcoholism, unspecified",30300,acute alcoholic intoxication in alcoholism unspecified,5
445,"Open wound of wrist, without mention of complication",88102,open wound of wrist without mention of complication,0
446,Embolism and thrombosis of iliac artery,44481,embolism and thrombosis of iliac artery,1
447,Malignant neoplasm of upper-outer quadrant of female breast,1744,malignant neoplasm of upperouter quadrant of female breast,2
448,Lumbosacral spondylosis without myelopathy,7213,lumbosacral spondylosis without myelopathy,1
449,"Malignant neoplasm of corpus uteri, except isthmus",1820,malignant neoplasm of corpus uteri except isthmus,2
450,"Elderly multigravida, delivered with or without mention of antepartum condition",65961,elderly multigravida delivered with or without mention of antepartum condition,1
451,Nonspecific abnormal findings in stool contents,7921,nonspecific abnormal findings in stool contents,1
